"Fond du Lac School District","WI","Fond du Lac","2013 (by)","","Yes (likely)","Not specified","Chromebook","upper bound; Jul 2013 eSchool News webinar titled 'Going 1:1 with Google Chromebooks & Establishing Professional Development at Fond du Lac School District' featuring district technology staff; 7,300-student district; professional development portal for teachers created","https://www.eschoolnews.com/webinars/going-11-with-google-chromebooks-establishing-professional-development-at-fond-du-lac-school-district/","","1351","530","1","0","5504680"
"Willis ISD","TX","Willis","2023","","Yes","Grades 6-12","Chromebook","Secondary (6-12) Chromebook program launched 2023-24 SY; HS students issued devices for 2024-25 SY; device insurance available through Safeware; Chromebooks for digital learning take-home","https://www.willisisd.org/students-families/chromebooks","https://sites.google.com/willisisd.org/cbooks/home","1352","530","1","0","4845900"
"Monroe-Woodbury Central School District","NY","Central Valley","2021","","Yes (likely)","K-12","Mixed (Chromebook/iPad/laptop)","ARPA/federal stimulus used for 1:1 devices for every student; July 2021 article confirms district using ESSER funds for technology initiatives providing a Chromebook iPad or laptop for every student; upper bound - may be COVID-era rollout","https://www.thephoto-news.com/news/local-news/monroe-woodbury-outlines-how-the-school-district-will-use-87-million-in-federal-stimulus-aid-BE1723892","","1353","530","1","0","3619650"
"Levittown Union Free School District","NY","Levittown","","","Yes (likely)","9th grade (at minimum)","Tablet (Windows 10)","District website shows 1:1 Windows 10 tablet program for 9th graders; take-home for in-school and at-home use; no specific year found in searches; district in Nassau County NY","https://www.levittownschools.com/tablets/","","1354","530","1","0","3617160"
"Elmont Union Free School District","NY","Elmont","","","Yes (likely)","Not specified","Not specified","Technology described as supporting curriculum; district website confirms technology integration; no dated 1:1 launch source found; elementary district in Nassau County NY","https://www.elmontschools.org/technology","","1355","530","1","0","3610620"
"Hickman Mills C-1","MO","Kansas City","","","Yes (likely)","Not specified","Chromebook","District confirms every student has access to Chromebooks and interactive learning platforms; high schools noted to have laptop program; no specific 1:1 launch year found","https://www.hickmanmills.org/families","","1356","530","1","0","2914340"
"Hopkins County","KY","Madisonville","","","Yes (phased)","Grades 6-12","Laptop/netbook","1:1 Portable Device Program at secondary level; each student assigned a netbook for grades 6-12; elementary schools have classroom computer sets; uses Manage1to1 asset management; no launch year found","https://www.hpsvikings.org/technology/1to1-portable-program/","","1357","530","1","0","2102860"
"Highland Park ISD","TX","University Park","","","Partial","Not district-wide","Laptop","District restricted personal laptops starting 2026-27 SY due to state law; district issuing devices beginning 2026-27 SY (HS); historically BYOD-based; no prior 1:1 district-issued program documented","https://www.peoplenewspapers.com/2026/03/04/highland-park-isd-to-restrict-personal-laptops-on-campus-for-2026-2027-school-year/","","1358","529","1","0","4823250"
"Greene County","TN","Greeneville","","","Yes","Grades 8-11 (then K-5 added)","Chromebook","District 1:1 Chromebook initiative page confirms each 8th-11th grade student issued a Chromebook; K-5 have 1:1 access daily in classroom; no launch year found in searches","https://www.greenecountyschools.com/departments/technology/1-1-chromebook-initiative","","1359","529","1","0","4701470"
"Eagle County School District No. RE 50","CO","Eagle","","","Yes (likely)","Not specified","Not specified","District website found but no specific 1:1 device program year found; district covers Vail and Beaver Creek resort communities; no dated source surfaced","https://www.eagleschools.net/","","1360","529","1","0","0803540"
"Manassas City Pblc Schs","VA","Manassas","","","Yes (likely)","Not specified","Chromebook","District has dedicated 'Student 1:1 Devices' page; Instructional Technology department active; no launch year found in web searches","https://www.mcpsva.org/page/student-11-devices","","1361","528","1","0","5102360"
