"MCMINN COUNTY","TN","Athens","","","","","","BYOD & 1:1 infrastructure noted in 2019 Extreme Networks press release; no firm year for district-wide 1:1 device distribution found","https://www.prnewswire.com/news-releases/mcminn-county-school-system-deploys-extreme-networks-to-power-immersive-digital-education-program-300874136.html","","1801","410","1","0","4702820"
"BULLHEAD CITY SCHOOL DISTRICT","AZ","Bullhead City","","","","","","District planned to purchase 1000 Chromebooks for 1:1 classroom access (noted in June 2022 ADE source); no firm launch year found","https://www.azed.gov/bullhead-city-school-district-0","","1802","405","1","0","0401500"
"ALICE ISD","TX","Alice","","","","","","Technology dept page found; no evidence of formal 1:1 initiative found in web search","https://www.aliceisd.net/en-US/technology","","1803","404","1","0","4807800"
"WYOMING PUBLIC SCHOOLS","MI","Wyoming","2015","","Yes (phased)","5-6 (pilot 2015); district-wide later","Chromebook","Jan 2015 article: pilot classrooms at Wyoming Intermediate School; 1000 devices funded; funding difficult for full rollout; later achieved district-wide 1:1","https://www.schoolnewsnetwork.org/2015/01/15/principal-hopes-provide-all-students-chromebooks-funding-proving-difficult/","https://wyomingps.org/student_chromebook_for_home/","1804","404","1","0","2636570"
"FITCHBURG","MA","Fitchburg","","","","","","Technology dept found; no evidence of formal 1:1 initiative found in web search; district serves 5000+ students","https://www.fitchburg.k12.ma.us/departments/technology-and-assessment","","1805","404","1","0","2504890"
"BAKER","FL","Macclenny","","","","","","BYOD policy documented Nov 2016; no formal 1:1 device rollout found in web search","https://www.bakerk12.org/domain/170","","1806","404","1","0","1200060"
"PINE BLUFF SCHOOL DISTRICT","AR","Pine Bluff","","","","","","No evidence of formal 1:1 device program found in web search","https://www.pinebluffschools.org/","","1807","404","1","0","0500026"
"WILLIAM PENN SD","PA","Lansdowne","","","","","","IT dept page found; no evidence of formal 1:1 initiative found in web search","https://williampennsd.org/departments/technology/","","1808","403","1","0","4226390"
"LINDEN CITY BOARD OF EDUCATION","NJ","Linden","2014","September","Yes","PreK-8: iPad; HS: MacBook Air","iPad / MacBook Air","1:1 Apple district since 2014; every student PreK-8 has iPad, HS students have MacBook Air; confirmed 2014 launch year","https://digitalpromise.org/district/linden-public-school-district/","https://rennamedia.com/technology-department-keeps-linden-students-and-teachers-connected/","1809","403","1","0","3408610"
"SOUTHGATE COMMUNITY SCHOOL DISTRICT","MI","Southgate","","","","","Chromebook","Chromebooks confirmed in use (Southgate Schools internal network for Chromebooks); no firm 1:1 launch year found","https://www.southgateschools.com/departments/technology","","1810","403","1","0","2632340"
"CHELMSFORD","MA","Chelmsford","2019","September","Yes","5-12","Chromebook","1:1 Chromebook Initiative launched 2019 for grades 5-12; all students receive district-issued Chromebook","https://chelmsfordschools.org/departments/superintendent-lang/","https://chelmsford.k12.ma.us/domain/96","1811","403","1","0","2503510"
"NYE COUNTY SCHOOL DISTRICT","NV","Pahrump","","","","","","Technology page found; no evidence of formal 1:1 initiative found in web search","https://www.nye.k12.nv.us/page/technology","","1812","402","1","0","3200360"
"BILOXI PUBLIC SCHOOL DIST","MS","Biloxi","","","","","","Student technology guide found; district may supply laptops; no firm 1:1 program year found in web search","https://www.biloxischools.net/43374_3","","1813","402","1","0","2800630"
"WESTFORD","MA","Westford","2016","September","Yes (phased)","9 (2016); cumulative 9-12 by 2019","Chromebook","One-to-World initiative started fall 2016 with 9th grade at Westford Academy; each 9th grade cohort adds on; MS program added later","https://www.westfordk12.us/wa/one-world-chromebooks-westford-academy","https://waghostwriter.com/50777/news/one-to-world-opens-up-a-world-of-possibilities-in-the-classroom/","1814","402","1","0","2512660"
"SCHOOL CITY OF MISHAWAKA","IN","Mishawaka","","","","K-4 (cart); upper grades take-home","Chromebook","K-4 Chromebooks in classroom carts; upper grades have take-home Chromebooks; district-wide 1:1 confirmed but no firm launch year found","https://www.mishawakaschools.com/about-us/departments/technology","https://www.mishawakaschools.com/Page/1910","1815","402","1","0","1806840"
"EASTMONT SCHOOL DISTRICT","WA","East Wenatchee","","","","","","District website found; no evidence of formal 1:1 initiative year found in web search","https://www.eastmont206.org/","","1816","401","1","0","5302310"
"SOUTHSIDE ISD","TX","San Antonio","","","","","","District of Innovation designation found; no evidence of formal 1:1 device initiative found in web search","https://southsideisd.org/","","1817","401","1","0","4840920"
"EAST PROVIDENCE","RI","East Providence","","","","","Chromebook","EPSD maintains 1:1 Chromebook program; Chromebooks approaching AUE (end-of-life refresh); no firm launch year found","https://epschoolsri.org/purchasing/","","1818","401","1","0","4400330"
"MAMARONECK UNION FREE SCHOOL DISTRICT","NY","Mamaroneck","","","","","","SMART Schools approved plans found; no formal 1:1 device program details found in web search","https://www.nysed.gov/smart-schools/mamaroneck-union-free-school-district-approved-plans","","1819","401","1","0","3618240"
"BEMIDJI PUBLIC SCHOOL DISTRICT","MN","Bemidji","","","","","Chromebook","Google Workspace / Chromebook use confirmed at ISD 31; no formal 1:1 launch year found","https://www.bemidji.k12.mn.us/parent/google-workspace/","","1820","401","1","0","2704440"
"NATICK","MA","Natick","2011","September","Yes","8-12 (2011); expanded to 5-7 later","MacBook / Chromebook","1:1 laptop program started fall 2011 with 8th grade at new Natick High School; all HS 1:1 by 2012; 1500 MacBooks; MS Chromebook program added later","https://npsdigitalconversion.wordpress.com/project-history-and-timeline/","https://www.natickps.org/programs/student1to1_program/digital_conversion","1821","401","1","0","2508340"
"CLARK COUNTY","KY","Winchester","2020","August","Yes","3-12","Chromebook","Every student grades 3-12 issued district-owned Chromebook for 2020-21 school year; COVID-era 1:1 rollout","http://www2.clarkschools.net/home/index.php/district-links/around-the-district-articles/463-chromebooks-to-be-issued-to-ccps-students-grades-3rd-12th","","1822","401","1","0","2101200"
"SAN GABRIEL UNIFIED","CA","San Gabriel","2017","August","Yes","K-12","Mixed (iPad/Chromebook/MacBook/Windows)","Completed 1:1 for all grade levels at start of 2017-18 SY; K-6 completed 2016-17; middle and HS completed Aug 2017; combination of iPads Chromebooks MacBooks Windows","https://caschoolnews.net/articles/san-gabriel-unified-implements-11-tech-initiative-for-all-students/","","1823","401","1","0","0634425"
"HOMER CCSD 33C","IL","Homer Glen","","","","","Chromebook / iPad","Chromebook program (2017-18 per 1:1 info page) then transitioned to iPad; 1:1 iPad program now K-8; no confirmed start year found","https://ehs.district140.org/district/technology-department/1-to-1-information","https://www.ksd140.org/district-technology/1-1-ipad-program","1824","400","1","0","1719500"
"NORTHMONT CITY","OH","Englewood","","","","","","Technology dept found; no evidence of formal 1:1 device program found in web search","https://www.northmontschools.net/","","1825","399","1","0","3904872"
"SHAKER HEIGHTS CITY","OH","Shaker Heights","2019","","Yes","K-12","Chromebook","1:1 Chromebook plan implemented 2019; decision made during 2017-18 SY; K gets classroom set (not take-home); grades 1+ take-home","https://shakerite.com/campus-and-city/administration-implements-11-chromebook-plan/13/2019/","https://www.shaker.org/business-operations/technology/chromebook-support","1826","399","1","0","3904475"
"PINE BUSH CENTRAL SCHOOL DISTRICT","NY","Pine Bush","2020","March","Yes","K-12","Chromebook","COVID-era rollout March 2020; systematic K-12 1:1 distribution Sept 2021; pre-COVID had partial Chromebook access but not 1:1","https://www.pinebushschools.org/chromebooks-available-to-pbcsd-families-beginning-thursday-march-19/","https://www.pinebushschools.org/pine-bush-csd-11-device-handbook/","1827","399","1","0","3623010"
"WARREN CO PBLC SCHS","VA","Front Royal","2020","August","Yes","K-12","Chromebook","Chromebook 1:1 Take Home Initiative announced Aug 2020 board meeting; 2020-21 SY launch; COVID-era; $20 fee per device; prior chromebook policy noted June 2017","https://www.warrenrecord.com/news/article_9a4e9096-e221-11ea-924e-3b3bdb443c94.html","https://www.warrenschools.com/uploaded/personal/Resources/chromebook_policy_updated_6_14_2017.pdf","1828","398","1","0","5103870"
"STOW-MUNROE FALLS CITY SCHOOL DISTRICT","OH","Stow","","","","","Chromebook","Chromebook use confirmed; COVID-era pickup dates referenced; no firm 1:1 launch year found","https://www.smfcsd.org/smfhs/News/23","","1829","398","1","0","3904483"
"MADISON DISTRICT","ID","Rexburg","","","","","","District website found; no evidence of formal 1:1 initiative found in web search","https://www.msd321.com/","","1830","398","1","0","1601920"
"HOWARD-SUAMICO SCHOOL DISTRICT","WI","Green Bay","","","Yes (likely)","3-12 (devices); K-2 classroom iPad","MacBook (HS) / iPad (K-8)","Every student grades 3-12 has laptop or iPad; HS MacBook Air take-home; K-8 iPad; Digital Promise profile April 2016; likely 2015 or earlier launch; no firm year confirmed","https://digitalpromise.org/district/howard-suamico-school-district/","https://www.hssdschools.org/departments/technology","1831","397","1","0","5506630"
