"NEWTOWN SCHOOL DISTRICT","CT","Newtown","2020 (by)","","Yes (likely)","K-12","Chromebook","upper bound; district issues Chromebooks to students; 2017 DTC guidelines ref existing Chromebooks; no earlier firm year found","https://newtown.campuscontact.com/Technology","","1901","383","1","0","0902910"
"SOUTH WHITTIER ELEMENTARY","CA","South Whittier","","","","","","no 1:1 initiative evidence found in web search; small K-8 elementary district; no dated device program identified","https://www.swhittier.net/information-services-and-technology","","1902","383","1","0","0637560"
"PROSPER ISD","TX","Prosper","2017","Fall","Yes","Grades 2-12","Chromebook","2017-18 SY all students grades 2-12 received Chromebooks; grades 4-12 take-home as of recent SY","https://www.prosper-isd.net/page/technology","https://eaglenationonline.com/17228/news/what-to-expect-for-chromebook-pick-up/","1903","382","1","0","4836000"
"BIXBY","OK","Bixby","2020 (by)","","Yes","Grades 7-12","Chromebook","upper bound; 2019-20 student handbook references existing Chromebook program for grades 7-12; no earlier launch year found","https://www.bixbyps.org/o/bixby-public-schools/page/1-1-instructional-initiative","https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/435074/2019-20_Elementary_and_Intermediate_Student_Handbook.pdf","1904","382","1","0","4004500"
"BENTON HARBOR AREA SCHOOLS","MI","Benton Harbor","","","","","","no 1:1 initiative evidence found in web search; district under state oversight; no dated device program identified","https://www.bhas.org/","","1905","382","1","0","2604830"
"EAST MAINE SD 63","IL","Des Plaines","2020 (by)","","Yes","K-8","Chromebook","upper bound; grades 3-8 take-home Chromebooks; K-2 in-classroom Chromebooks; no earlier firm launch year found","https://www.emsd63.org/parent-student/technology/chromebooks-student-use","","1906","382","1","0","1713140"
"CANON-MCMILLAN SD","PA","Canonsburg","2020 (by)","","Yes","K-12","Chromebook","upper bound; Chromebook FAQ dated 3/30/2020; district moving away from Chromebooks for K-2 as of 2025; no earlier firm year found","https://www.cmsd.k12.pa.us/Content2/chromebookfaq","https://www.cbsnews.com/pittsburgh/news/canon-mcmillan-school-district-chromebooks/","1907","381","1","0","4204890"
"BLACKFOOT DISTRICT","ID","Blackfoot","","","","","","no 1:1 initiative evidence found in web search; district uses Chromebooks but no dated 1:1 program identified","https://www.sd55.org","","1908","381","1","0","1600270"
"METHACTON SD","PA","Eagleville","2015","Fall","Yes (phased)","Grades 9-12 (pilot); expanded to 5-12","Chromebook","2015-16 iLEARN pilot: 170 students grades 9-12; expanded to district-wide grades 5-12","https://pa01000176.schoolwires.net/Page/15724","https://www.methacton.org/departments/technology","1909","380","1","0","4214250"
"CARLISLE AREA SD","PA","Carlisle","2020 (by)","","Yes","K-12","Mixed (laptop/iPad)","upper bound; all HS students get district laptop; ES students get iPad; no earlier firm launch year found in web search","https://www.carlisleschools.org/student_services/technology/device_agreement","","1910","380","1","0","4205010"
"RIVERSIDE LOCAL","OH","Painesville","2020 (by)","","Yes","Grades 1-12","Chromebook","upper bound; grade 1 receives Chromebook kept through grade 6; grade 7 receives another through graduation; no firm launch year found","https://www.painesville-township.k12.oh.us/Downloads/Acceptable%20Use%20Policy25-26%20(1).pdf","https://www.riverside.k12.oh.us/","1911","380","1","0","3910014"
"SYCAMORE COMMUNITY CITY","OH","Blue Ash","2020","March","Yes","Grades 5-12","Chromebook","March 2020 COVID-era distribution to MS students; expanded to grades 5-12; PreK-4 shared cart-based","https://www.syc427.org/our-district/innovative-learning/11-chromebook-iniative","https://www.syc427.org/news/~board/district-news/post/distributing-devices-chromebooks-in-the-hands-of-sms-students","1912","380","1","0","3904486"
"DARE COUNTY SCHOOLS","NC","Manteo","2020 (by)","","Yes (phased)","Grades 3-12 (Chromebook); K-2 (tablet)","Chromebook","upper bound; March 2020 remote learning docs reference existing 1:1 Chromebook program; iPads/tablets for K-2; no earlier firm launch year found","https://www.daretolearn.org/resources/technology-services","https://islandfreepress.org/outer-banks-news/dare-county-schools-provide-outline-for-upcoming-remote-learning-program/","1913","380","1","0","3701110"
"LOWNDES CO SCHOOL DIST","MS","Columbus","2020 (by)","","Yes (likely)","K-12","Mixed (MacBook/iPad)","upper bound; ~5200 devices (MacBooks and iPads) on inventory; no earlier firm launch year found","https://www.lowndes.k12.ms.us/departments/technology/index","","1914","380","1","0","2802730"
"WYOMING VALLEY WEST SD","PA","Kingston","2020 (by)","","Yes","Grades 3-12","Chromebook","upper bound; district issues HP Chromebook 11A G8 to all grades 3-12; no firm launch year found; COVID-era rollout likely","https://www.wvwsd.org/site/default.aspx?PageType=3&DomainID=8&ModuleInstanceID=285&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=4291&PageID=9&Comments=true","https://sites.google.com/wvwsd.org/1to1device/home","1915","379","1","0","4225950"
