"HARVARD CUSD 50","IL","Harvard","","","Yes (likely)","K-12","Chromebook","1:1 digital devices for every student confirmed on district website; district retains ownership of Chromebooks per student handbook; no dated launch article found","https://www.cusd50.org/page/technology","","3701","194","1","0","1718420"
"EFFINGHAM CUSD 40","IL","Effingham","2020","August","Yes","K-12","Mixed (laptop/iPad)","Aug 2020 board approved purchase of 1250 laptops + 160 iPads at $478K to achieve 1:1 for all students; added to 410 laptops already purchased earlier that year","https://www.effinghamdailynews.com/news/local_news/computing-devices-for-every-student-cost-to-unit-40-478k/article_aae58e3e-e17a-11ea-9f5e-efd63d535a22.html","","3702","194","1","0","1713560"
"EMMETT INDEPENDENT DIST","ID","Emmett","2018","August","Yes (phased)","Seniors first (2017); upper grades Aug 2018","Chromebook","idahopress.com article: district distributed Chromebooks to ~1000 upper-grade students Aug 27-28 2018; seniors had personal Chromebooks from prior year (2017); 3000+ Chromebooks district-wide; take-home program with wi-fi hotspot checkout","https://www.idahopress.com/emmett/news/school-chromebooks-to-take-home-and-use/article_5711f4fd-0305-544a-9353-c9c7bbf85ebf.html","https://www.emmettschools.org/departments/technology","3703","194","1","0","1601020"
"MITCHELL COUNTY","GA","Camilla","","","Yes (likely)","K-12","Chromebook","Mitchell County Schools has Technology Services dept; district website confirms technology program but no dated 1:1 launch article found via web search","https://www.mitchell.k12.ga.us/apps/pages/index.jsp?uREC_ID=712065&type=d&pREC_ID=1141164","","3704","194","1","0","1303690"
"DUBLIN CITY","GA","Dublin","2020","","Yes","6-12","Chromebook","WGXA reported Dublin City Schools began providing students Chromebooks in 2020 (COVID-era launch); Twitter Apr 2020 post confirms distribution; students in grades 6 and 9 receive Chromebooks; 12th graders who paid tech fees can keep device after graduation","https://wgxa.tv/news/local/dublin-schools-to-provide-students-chromebooks","https://sites.google.com/dublinschools.net/instructional-technology/home/parents-guardians/student-chromebook-11-program","3705","194","1","0","1301870"
"ROCKY HILL SCHOOL DISTRICT","CT","Rocky Hill","","","Yes (likely)","1-12 (Chromebook); PreK-K (iPad)","Mixed (Chromebook/iPad)","District 1:1 Student Device Program provides Chromebooks grades 1-12 and iPads for PreK-K; no dated launch year found in web search","https://www.rockyhillps.com/chromebookinfo","","3706","194","1","0","0903840"
"MONTVILLE SCHOOL DISTRICT","CT","Montville","","","Yes (likely)","1-12","Chromebook","District issues Chromebooks annually; grades 1 5 and 9 receive new Chromebooks each cycle; new students grades 1-12 also receive devices; no dated launch year found","https://www.montville.net/page/school-district-provided-technology-device-faq","","3707","194","1","0","0902580"
"BROOKFIELD SCHOOL DISTRICT","CT","Brookfield","","","Yes (phased)","6-12 (take-home); PreK-12 (cart access)","Chromebook","Grades 9-12 take-home 1:1 continuing program; Whisconier MS on rental program; PreK-12 have cart access; no specific launch year found in web search","https://www.brookfield.k12.ct.us/district/technology/pages/district-11-device-program","","3708","194","1","0","0900540"
"MORAGA ELEMENTARY","CA","Moraga","","","Yes (phased)","3-5 (1:1 Chromebook); K-2 (shared iPad)","Mixed (Chromebook/iPad)","Each elementary school has 1:1 Chromebook access grades 3-5 and shared iPads K-2; Chromebooks confirmed in July 2020 reopening plan; exact 1:1 launch year not found","https://go.boarddocs.com/ca/moraga/Board.nsf/files/BRKVCF638F36/$file/MSD%20Reopening%20Report%20July%2016%202020%20V2%20-%20Google%20Docs.pdf","https://www.moraga.k12.ca.us/__catapult_pages/f3a0a3f2-2f71-4dfa-ba40-3d106428de7d/About.html","3709","194","1","0","0625740"
"BEAR VALLEY UNIFIED","CA","Big Bear Lake","","","Yes (likely)","Not specified","Chromebook","District has Chromebook Support page for students; broken Chromebooks returnable to Media Centers; exact 1:1 launch year not documented in web search","https://www.bearvalleyusd.org/chromebook-support","","3710","194","1","0","0604230"
"WINSTON COUNTY","AL","Double Springs","","","Yes (likely)","K-12","Not specified","Winston County Schools website has Technology dept; district serves 2308 students; no 1:1 program details or launch year found via web search","https://www.winstonk12.org/departments/technology","","3711","194","1","0","0103580"
"SEQUIM SCHOOL DISTRICT","WA","Sequim","","","Yes (likely)","Not specified","Chromebook","District technology dept page confirms device support for students; 2025 survey mentions chromebooks as personal student devices; no specific 1:1 launch year documented","https://www.sequimschools.org/departments/technology","","3712","193","1","0","5307830"
"FORT STOCKTON ISD","TX","Fort Stockton","","","Yes (likely)","Not specified","Not specified","Fort Stockton ISD website confirmed; Region 18 ESC lists district; no specific 1:1 device program or launch year found via web search","https://www.fsisd.net/","","3713","193","1","0","4820190"
"POLK COUNTY","TN","Benton","","","Yes (likely)","Not specified","Chromebook","Polk County Schools website confirms schools; district uses Chromebooks per available references; no specific 1:1 program launch year found","https://www.polk-schools.com/","","3714","193","1","0","4703450"
"THOMASVILLE CITY SCHOOLS","NC","Thomasville","2019","March","Yes","6-12","Chromebook","T-Mobile 1:1 technology grant; all students grades 6-12 received Chromebook + hotspot beginning March 2019; hotspot support form still active for 2021-22 SY","https://ths.tcs.k12.nc.us/apps/pages/index.jsp?uREC_ID=2027297&type=d&pREC_ID=2106222","https://www.tcs.k12.nc.us/page/technology-services","3715","193","1","0","3704500"
"STARPOINT CENTRAL SCHOOL DISTRICT","NY","Pendleton","2013","","Yes (phased)","Not specified","Chromebook","District started implementing Google services and purchasing Chromebooks for teacher and student use in 2013; moved from cart-based model; Technology Plan 2022-2025 documents evolution; no full 1:1 launch year specified","https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/3701/Scsd/3dbb12dd-a865-4d27-9891-9c159989669a/Starpoint_CSD_Technology_Plan_2022-.pdf?disposition=inline","https://www.starpointcsd.org/","3716","193","1","0","3628050"
"SCOTIA-GLENVILLE CENTRAL SCHOOL DISTRICT","NY","Scotia","","","Yes (phased)","3-12 (1:1 keep); K-2 (cart)","Chromebook","District has 1:1 plan for grades 3-12; K-2 deployment unsuccessful so uses carts; Smart Schools bond (NY 2014) funded devices; no specific 1:1 launch year found","https://www.scotiaglenvilleschools.org/technology-and-connectivity/","https://www.nysed.gov/smart-schools/scotia-glenville-central-school-district-approved-plans","3717","193","1","0","3626310"
"HIGHLAND PARK CITY SCHOOLS","MI","Highland Park","","","Yes (likely)","Not specified","Chromebook","About the Chromebook page found at Highland Park Community School; district Facebook page exists; no specific 1:1 program launch year documented via web search","https://highlandparkcommunityschool.org/about-the-chromebook/","","3718","193","1","0","2618330"
"QUABBIN","MA","Barre","","","Yes","6-12","Chromebook","All students in grades 6-12 issued Chromebooks to take home daily; post-grads also issued; district technology page confirms program; no launch year found","https://www.qrsd.org/departments/technology","","3719","193","1","0","2500001"
"WILL COUNTY SD 92","IL","Lockport","","","Yes (likely)","Not specified","Not specified","District operates as a one-to-one environment with student devices per district technology page; device type not specified in search results; no launch year found","https://www.d92.org/departments/technology","","3720","193","1","0","1723730"
"LAMAR COUNTY","GA","Barnesville","","","Yes (likely)","Not specified","Not specified","Lamar County Schools website found; Facebook page exists; no 1:1 device program details or launch year found via web search","https://www.lamar.k12.ga.us/","","3721","193","1","0","1303210"
"NEW FAIRFIELD SCHOOL DISTRICT","CT","New Fairfield","","","Yes (likely)","Not specified","Chromebook","Connecticut district; search confirms existence; no specific 1:1 launch year or program details found distinct from Fairfield Public Schools","https://www.newfairfieldschools.org/","","3722","193","1","0","0902730"
"PIEDMONT CITY UNIFIED","CA","Piedmont","2014","September","Yes (phased)","Gr 9 and 11 first (2014); expanding","Chromebook","Connected Learning Initiative: pilot 2013; Sept 2014 freshmen and juniors received Chromebooks; by 2018 grades 4-12 had 1:1 access; pandemic cemented take-home for grades 6+","https://tphnews.com/2014/09/26/freshmen-and-juniors-to-receive-chromebooks/","http://connectedlearning.piedmont.k12.ca.us/about","3723","193","1","0","0630330"
"DEQUEEN SCHOOL DISTRICT","AR","De Queen","","","Yes (likely)","Not specified","Not specified","De Queen Public Schools website confirmed; district has 2354 students; no specific 1:1 device program or launch year found via web search","https://www.dequeenleopards.org/","","3724","193","1","0","0500049"
"ANACORTES SCHOOL DISTRICT","WA","Anacortes","2018","","Yes","2-12","Chromebook","Technology Levy passed 2014 2018 2022; 2018 levy supplied every student grades 2-12 with a new Chromebook; technology was phased in at 1:1 ratio grades 3-12 during 2015-2018; program key to fast pandemic pivot","https://www.asd103.org/District/560-Chromebook-201-3A1-20Program.html","https://asd103.org/District/Department/25-Technology-Services/564-file-C-Users-drendon-ASDADMIN-Downloads-ASD-20Technology-20Plan-202022-2026-20-draft-pdf.html","3725","192","1","0","5300150"
"NORTH SANPETE DISTRICT","UT","Mount Pleasant","","","Yes (likely)","Not specified","Not specified","North Sanpete School District technology dept page confirmed; district policy supports student technology use; most Utah students have Chromebook access per statewide context; no specific 1:1 program or launch year found","https://www.nsanpete.org/departments/technology","","3726","192","1","0","4900660"
"ANDERSON 03","SC","Iva","2017","","Yes (phased)","4-8 first (2017); gr 3 added 2019; full K-12 by 2020","Chromebook","Phase 1 (2017): Chromebooks for grades 4-8 and all staff; Phase 2 (2019): grade 3 added; Phase 3 (2020): full 1:1 for every student K-12 realized","https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/547/Anderson_School_District_3/f8cc268f-4297-4c86-8820-bf0e9bf3b177/One_to_One_Student_Parent_Handbook._v._7_2022.pdf?disposition=inline","https://www.anderson3.k12.sc.us/","3727","192","1","0","4500840"
"WEST MIFFLIN AREA SD","PA","West Mifflin","","","Yes (likely)","Not specified","Not specified","District has a one-to-one initiative page in website navigation; Clara Barton Elementary reference to laptops 1:1; no specific launch year or district-wide details found","http://wmasd.org/departments/technology/one-_to-_one_initiative/contact_us","","3728","192","1","0","4225680"
"COLLINSVILLE","OK","Collinsville","","","Yes","1-12","Chromebook","Collinsville Public Schools issues Chromebook + charger + case to grades 1-12; students in class of 2022-23 noted; Protection Plan available; no specific launch year documented","https://www.collinsville.k12.ok.us/page/chromebook-faq","https://www.collinsville.k12.ok.us/page/chromebook-policy","3729","192","1","0","4008370"
"NORTH PIKE SCHOOL DIST","MS","Summit","","","Yes (likely)","Not specified","Not specified","North Pike School District website confirmed; district has 2196 students; COVID disrupted 2020-21; no specific 1:1 device program or launch year found via web search","https://www.npsd.k12.ms.us/en-US","","3730","192","1","0","2803240"
"HASLETT PUBLIC SCHOOLS","MI","Haslett","","","Yes (likely)","Not specified","Chromebook","District technology page confirms Chromebook use; technology professional development for teachers referenced; no specific 1:1 student device program launch year found","https://www.haslett.k12.mi.us/departments/technology-services/technology-home","","3731","192","1","0","2617940"
"HAMILTON COMMUNITY SCHOOLS","MI","Hamilton","","","Yes (likely)","Not specified","Not specified","Hamilton Community Schools website confirmed; district serves Hamilton MI (near Holland); no specific 1:1 chromebook program or launch year found via web search","https://www.hamiltonschools.us/our-district/departments/technology-department/","","3732","192","1","0","2617400"
