"PITTSTON AREA SD","PA","Pittston","2020","","Yes (likely)","K-12","Chromebook","District has 1:1 Chromebook Initiative listed on technology page; provided Chromebooks to all students during Aug 2020 remote learning; no earlier firm launch date found","https://www.pittstonarea.com/page/technology","https://www.timesleader.com/news/797341/pittston-area-drops-hybrid-plan-will-be-full-remote-for-first-quarter","3001","247","1","0","4219200"
"GREENE COUNTY SCHOOLS","NC","Snow Hill","2020","","Yes","8-11","Chromebook","Provides Chromebook to each 8th-11th grade student; district website does not give launch year, taken as upper bound","https://www.greenecountyschools.com/departments/technology/1-1-chromebook-initiative","","3002","247","1","0","3701830"
"WHITESBORO CENTRAL SCHOOL DISTRICT","NY","Whitesboro","2020","","Yes (likely)","K-12","Chromebook","District has 1:1 Chromebook FAQ page and Information & Instructional Technology; no firm launch year found","https://www.wboro.org/parenttechsupport","","3003","247","1","0","3631320"
"WINONA AREA PUBLIC SCHOOL DISTRICT","MN","Winona","2016","January","Yes (phased)","3-12","mixed","TL21 initiative began January 2016; phased 4-year rollout. K-2 iPads, 3-12 Chromebooks","https://www.winonaschools.org/departments/technology/tl21","","3004","247","1","0","2744070"
"ALBERT LEA PUBLIC SCHOOL DISTRICT","MN","Albert Lea","2020","","Yes","K-12","mixed","K-2 iPads, 3-12 Chromebooks confirmed by 2022 Albert Lea Tribune; pandemic baseline","https://www.albertleatribune.com/2022/02/behind-the-scenes-with-technology-at-the-albert-lea-school-district/","","3005","247","1","0","2702970"
"STERLING CUSD 5","IL","Sterling","2020","","Yes (likely)","K-12","Chromebook","Technology program present but no specific launch year found","https://www.sps5.org/page/our-district","","3006","247","1","0","1742310"
"MATTOON CUSD 2","IL","Mattoon","2020","","Yes","K-12","Chromebook","Mattoon CUSD 2 began issuing Chromebooks for the 2020-2021 school year","https://www.myradiolink.com/2020/05/29/mattoon/","https://www.mattoon.k12.il.us/page/edtechtech","3007","247","1","0","1725050"
"BEN HILL COUNTY","GA","Fitzgerald","2020","","Yes (likely)","K-12","Chromebook","District operates schools in Fitzgerald GA; specific 1:1 launch year not found","https://www.ben-hill.k12.ga.us/","","3008","247","1","0","1300360"
"FAIRFAX ELEMENTARY","CA","Bakersfield","2020","","Yes (likely)","K-8","Chromebook","Elementary district in Bakersfield; California Bridging the Digital Divide fund supplied Chromebooks during pandemic","https://www.fairfax.k12.ca.us/","https://edsource.org/2021/a-california-program-spent-millions-on-devices-for-distance-learning-heres-where-it-went/654590","3009","247","1","0","0613290"
"SHERIDAN COUNTY SCHOOL DISTRICT #2","WY","Sheridan","2020","","Yes","K-12","Chromebook","SCSD2 fully 1:1; Sheridan Junior High rolled out 700+ Chromebooks; specific launch year not pinned","http://scsd2.com/sjhs-prepares-for-11-chromebook-rollout","https://scsd2.com/","3010","246","1","0","5605695"
"LITTLE CYPRESS-MAURICEVILLE CISD","TX","Orange","2020","","Yes (likely)","K-12","Chromebook","District has tech program; specific 1:1 launch year not found","https://lcmcisd.org/technology-4096704600","","3011","246","1","0","4827690"
"NETTLETON SCHOOL DISTRICT","AR","Jonesboro","2020","","Yes (likely)","K-12","Chromebook","Specific 1:1 launch year not found in public sources","https://nettletonschools.com/","","3012","246","1","0","0510440"
"BEEBE SCHOOL DISTRICT","AR","Beebe","2019","","Yes (phased)","K-12","Chromebook","Beebe Elementary received Chromebooks in 2019 to close gap on 1:1 ratio; secondary likely earlier","https://arkansasstemcoalition.com/beebe-elementary-school-receives-110-chromebooks-from-esco/","https://www.fidelitycommunications.com/company/press-releases/2020/07/fidelity-chromebook-donation-to-beebe-elementary-school-enables-student-access-to-technology-during-covid-19","3013","246","1","0","0502880"
