"East Brunswick Public Schools","NJ","East Brunswick","2020 (by)","","Yes (likely)","K-12","Mixed (Chromebook/Windows laptop)","upper bound; district has K-2 classroom Chromebooks, 3-6 take-home Chromebooks, 7-12 Windows laptops (Lenovo 300e/ThinkPad 11e); no firm launch year found in web search","https://www.ebnet.org/parents/technology-resources/1-to-1-device-information","","1201","587","1","0","3404110"
"Midland Public Schools","MI","Midland","2019 (by)","","Yes","K-12","Chromebook","upper bound; July 2019 article shows district amending Chromebook repair policy with tiered fees, indicating program well-established by then; ~8,000 devices district-wide","https://chemicalcitypaper.com/2019/07/14/midland-public-schools-amends-student-chromebook-repair-policy/","","1202","587","1","0","2623820"
"Willoughby-Eastlake City","OH","Willoughby","2020 (by)","","Yes","K-12","Chromebook","upper bound; every student has a Chromebook; annual tech fee covers one repair; no firm launch year found in web search","https://www.weschools.org/families/chromebooks","","1203","586","1","0","3904510"
"Wachusett","MA","Holden","2018","September","Yes (phased)","9-12 first, expanded to 6-12 by 2022","Chromebook","HS seniors were first class issued Chromebooks as freshmen; FY22 budget confirms program expanded to all 6-12 over 4 years starting with class of 2022 (entered 2018-19); Google Apps for Education since 2012","https://sites.google.com/wrsd.net/1to1/why-chromebooks","https://www.wrsdonline.net/finance/FY22BudgetBook.pdf","1204","586","1","0","2511880"
"Polk County","GA","Cedartown","2020 (by)","","Yes (likely)","K-12","Chromebook","upper bound; district website references Chromebook use; no firm launch year documented in web search","https://www.polk.k12.ga.us/page/home","","1205","586","1","0","1304200"
"Snowline Joint Unified","CA","Phelan","2020","","Yes","K-12","Chromebook","COVID-era rollout; district began distributing Chromebooks and hotspots to students for distance learning spring 2020; program continued post-pandemic","https://www.snowlineschools.com/apps/pages/index.jsp?uREC_ID=1122605&type=d&pREC_ID=2044147","","1206","586","1","0","0636970"
"Humboldt Unified District","AZ","Prescott Valley","2020 (by)","","Yes","K-8 (district-issued); HS own devices","Chromebook","upper bound; district requires K-8 students to use district-provided devices; no firm launch year found; COVID-era expansion likely","https://www.humboldtunified.com/district-departments/information-technology/student-devices-and-technology","","1207","586","1","0","0403870"
"Medina City SD","OH","Medina","2020 (by)","","Yes","K-12","Chromebook","upper bound; district voted to go 1:1 Chromebook K-12; District Technology Vision Committee determined direction; no firm launch year found in web search","https://www.medinabees.org/departments/technology/chromebook-11","","1208","585","1","0","3904438"
"Bryan County","GA","Pembroke","2020 (by)","","Yes (likely)","K-12","Chromebook","upper bound; district references Chromebook and iPad rollouts; final Chromebook rollout phase in progress as of March 2020","https://www.bryan.k12.ga.us/","","1209","585","1","0","1300570"
"Lafayette School Corporation","IN","Lafayette","2020 (by)","","Yes (likely)","K-12","Chromebook","upper bound; Technology Services page confirms device program; no firm launch year found in web search","https://www.lsc.k12.in.us/departments/technology","","1210","584","1","0","1805400"
