"Brandon School District In The Counties Of Oakland And Lapee","MI","Ortonville","","","Yes (likely)","K-12","","1:1 device ratio confirmed at Harvey-Swanson Elementary; district-wide tech program exists; no dated source for rollout year found","https://brandonschooldistrict.org/index.php/technology-home","","3401","216","1","0","2606570"
"North Reading","MA","North Reading","","","Yes (likely)","K-12","Chromebook","1:1 Chromebook Learning Program confirmed operational; no launch year found in web search","https://www.north-reading.k12.ma.us/district/digital-learning","","3402","216","1","0","2508820"
"Gurnee SD 56","IL","Gurnee","2012","","Yes","Pre-K–8","iPad","District-wide 1:1 iPad initiative launched 2012-13 SY; final rollout to kindergartners Feb 2013; 2100+ students issued iPads; 'No Child Without Technology' guiding principle","http://www.lakecountyjournal.com/2013/02/20/the-futures-in-their-hands-ipads-for-every-d56-student/aeorzzj/","https://dailyherald.com/article/20130822/news/708229949","3403","216","1","0","1717800"
"Mendota Unified","CA","Mendota","2020 (by)","","Yes (likely)","K-12","Chromebook","No specific launch article found; CA state digital divide program distributed devices during COVID-era 2020-21 to high-poverty rural districts; Mendota is 100% minority, 70% economically disadvantaged","https://edsource.org/2020/thousands-of-california-students-to-get-free-wifi-and-chromebooks-for-distance-learning/627823","","3404","216","1","0","0600022"
"Geneva County","AL","Hartford","","","","","","No evidence of 1:1 program found in web search; district serves Hartford AL area","https://www.genevacountyschools.com/","","3405","216","1","0","0101660"
"Millard District","UT","Fillmore","2017 (by)","","Yes (likely)","K-12","","Utah DTL Grant Cohort 1 launched 2016; Millard District identified as participant; district-wide tech initiative per DTL grant; specific device type and 1:1 year not confirmed","https://www.schools.utah.gov/curr/digital","","3406","215","1","0","4900540"
"Greensburg Salem SD","PA","Greensburg","","","Partial","HS","iPad","Board approved $535k for 900 iPads for HS students plus 65 MacBook Airs for teachers in recent vote (2025); prior device history unclear; no pre-2020 1:1 evidence found","https://community.triblive.com/news/3797369","https://www.greensburgsalem.org/","3407","215","1","0","4210920"
"East Pennsboro Area SD","PA","Enola","","","Yes (likely)","5-12","Chromebook","Chromebook program confirmed (HP Flip X360 Chromebooks, distributed to 5th grade entry); no launch year found in web search","https://www.epasd.org/wp-content/uploads/Chromebook-Guide.pdf","","3408","215","1","0","4208580"
"Chillicothe City","OH","Chillicothe","","","Yes (likely)","K-12","Chromebook","Chromebook Initiative page exists on district site; no launch year or dated article found in web search","http://www.chillicothecityschs.oh.schools.bz/Content/ChromebookInitiativeClassroomResourcesTCC","","3409","215","1","0","3904374"
"Westwood Regional School District","NJ","Westwood","","","Yes","6-12","Chromebook","WRSD 1:1 Program confirmed for grades 6-12; district-owned Chromebooks used at school and home; no launch year found","https://sites.google.com/wrsd.net/1to1","","3410","215","1","0","3417820"
"Mahtomedi Public School District","MN","Mahtomedi","2015","","Yes (phased)","5-12","Chromebook","Device for Every Learner program: Google Apps adopted 2013, staff/student sampling 2014, personal Chromebooks distributed grades 5-12 in 2015-16 SY","https://www.mahtomedi.k12.mn.us/article/1730863","","3411","215","1","0","2718750"
"East Grand Rapids Public Schools","MI","East Grand Rapids","","","Partial","6-12","Mixed","Engage 1:1 is primarily BYOD at MS/HS; district does not fund most devices; district-issued devices only beginning 2025-26 for 6th grade; not a true 1:1 district-issued program pre-2025","https://www.egrps.org/District/Engage-11/","https://www.schoolnewsnetwork.org/2024/03/06/middle-schoolers-join-egrs-engage-11-program-2/","3412","215","1","0","2612480"
"South Dearborn Com School Corp","IN","Aurora","2017","","Yes","3-12","Chromebook","As of 2017-18 SY all students grades 3-12 issued Chromebook for school and home; K-2 classroom sets; Google School; state-approved tech plan","https://www.sdcsc.k12.in.us/services/technology-services","","3413","215","1","0","1800240"
"Aptakisic-Tripp CCSD 102","IL","Buffalo Grove","2012","","Yes","Pre-K–8","iPad","Personal Technology Initiative began 2012-13 SY; iPad provided to every student in D102; Meridian and Aptakisic are Apple Distinguished Schools","https://www.d102.org/page/technology","https://en.wikipedia.org/wiki/Aptakisic-Tripp_Community_Consolidated_School_District_102","3414","215","1","0","1703900"
"Harrison School District","AR","Harrison","","","Yes (likely)","K-12","Chromebook","Chromebook program confirmed with handbook/policy; students pay $25 fee; no launch year found in web search","https://hhs.harrisongoblins.org/50020_1","","3415","215","1","0","0507380"
"Southhampton Co Pblc Schs","VA","Courtland","","","Yes (likely)","K-12","Chromebook","District uses Chromebooks; technology support confirmed; no specific launch year found in web search","https://www.southampton.k12.va.us/","","3416","214","1","0","5103600"
"Fentress County","TN","Jamestown","","","Yes (likely)","K-12","","Fentress County Schools technology program exists; no 1:1 launch year found in web search","https://www.fentressboe.com/","","3417","214","1","0","4701230"
"Anderson 04","SC","Pendleton","","","Yes (likely)","K-12","","Anderson SD 4 (Pendleton/Townville) technology program; no specific 1:1 device launch year found","https://www.anderson4.org/","","3418","214","1","0","4500870"
"Westerly","RI","Westerly","","","Yes","6-12","Chromebook","WRSD 1:1 program confirmed for grades 6-12; district-owned Chromebooks used at school and at home; no specific launch year found","https://sites.google.com/wrsd.net/1to1","https://www.wpsri.org/","3419","214","1","0","4401170"
"Pottsville Area SD","PA","Pottsville","","","Yes","K-12","iPad","District has a 1:1 iPad program across all grade levels; lease-based program; received ~$1M ECF grant 2023; no original launch year found","https://www.pottsville.k12.pa.us/departments/technology/11-ipad-program","","3420","214","1","0","4219710"
"Ontario SD 8C","OR","Ontario","2018","November","Yes (phased)","9-12","Chromebook","Fall 2018 Ontario HS received Measure 98 grant funding for ~700 Chromebooks; distributed Nov 28 2018 to every HS student; Chromebooks used in classrooms before but not at this scale","https://www.argusobserver.com/news/laptop-computers-a-new-tool-for-ohs-students/article_9102bae0-1c5b-11e9-ac5a-47e19527c9a8.html","https://www.ontarioschools.org/MobileDeviceInitiative.aspx","3421","214","1","0","4109270"
"Bethpage Union Free School District","NY","Bethpage","2014","Fall","Yes (phased)","3-12","Chromebook","First wave: Chromebooks for grades 3-9 fall 2014; grades 11-12 added 2016-17 and 2017-18; Google Reference District; 1:1 in grades 1-12 by 2019","https://p1232.nysed.gov/mgtserv/documents/BETHPAGEUFSD.pdf","https://docs.google.com/presentation/d/1khf1UTzC8Vx8mpzkAPEOFraPFvXXrIPEq1xBrsJyYYQ/edit","3422","214","1","0","3604740"
"Ralston Public Schools","NE","Ralston","2020","","Yes (phased)","9-12","Chromebook","Board approved 350 Chromebooks (~$400 each) using CARES Act funds for HS 1:1; plans to expand to 7th-8th grades after; superintendent announced fall 2020 launch","https://omaha.com/news/education/ralston-high-school-students-to-get-laptops-in-the-fall-superintendent-says/article_791dfd89-ecc1-56b2-a016-514a5dee3aa9.html","","3423","214","1","0","3175900"
"Great Bend","KS","Great Bend","2016","","Yes","6-12","Chromebook","1:1 Tech Initiative launched 2015 with Dorothy M. Morrison Foundation grant ($327k); big rollout fall 2016 semester with Chromebooks at GBMS and GBHS; all students district-wide eventually reached","https://www.gbtribune.com/news/local-news/great-bend-schools-prepare-for-tech-initiative/","https://www.gbtribune.com/news/local-news/usd-428-stays-ahead-chromebook-rush/","3424","214","1","0","2006660"
"Ft Leavenworth","KS","Fort Leavenworth","","","Yes (likely)","K-9","Mixed","USD 207 has 1:1 tech; older reviews mention iPad 2s; current tech services page exists; no specific 1:1 launch year found","https://www.usd207.org/apps/pages/index.jsp?uREC_ID=286461&type=d&pREC_ID=657239","","3425","214","1","0","2006330"
"Lake Forest SD 67","IL","Lake Forest","","","Yes","K-8","iPad","District-wide 1:1 iPad program for K-8; grades K-4 stay at school, grades 5-8 take home; no specific launch year found in web search","https://www.lakeforestschools.org/d671/back-to-school-information","","3426","214","1","0","1721750"
"Putnam County","GA","Eatonton","2019 (by)","","Yes (likely)","K-12","Chromebook","Google case study: ~9000 Chrome devices in use as of early 2019; target of 1:1 for nearly all grades by 2020; Putnam County Charter School System","https://edu.google.com/intl/ALL_in/resources/customer-stories/putnam-county-school/","https://www.putnam.k12.ga.us/district/technology","3427","214","1","0","1304260"
"Tallapoosa County","AL","Dadeville","2017","Fall","Yes (phased)","9-12","Chromebook","Sept 2017: 1200 HS students issued Chromebooks/laptops replacing digital textbooks; teachers trained Oct 2017; firewall/filter in place; 15% students lacked home internet","https://www.wsfa.com/story/36358132/high-school-textbooks-to-go-digital-in-tallapoosa-county/","https://m.alexcityoutlook.com/2017/09/07/chromebooks-coming-to-county-schools","3428","214","1","0","0103210"
"Marion 01","SC","Marion","","","Yes (likely)","K-12","Chromebook","Marion County SD SC uses Chromebooks; Chromebook basics page confirmed; no specific launch year found","https://www.mariongs.com/chromebook-basics/","https://www.marion.k12.sc.us/","3429","213","1","0","4502850"
"Dover Public School District","NJ","Dover","","","Yes (likely)","K-12","","Technology department page found; no specific 1:1 Chromebook launch year found in web search","https://www.dover-nj.org/districtoffices/technology","","3430","213","1","0","3403930"
"Northwest Community Schools","MI","Jackson","","","Yes (likely)","K-12","","1:1 device ratio at district confirmed; Jackson MI; no specific launch year found in web search","https://www.nwschools.org/","","3431","213","1","0","2626010"
"Holliston","MA","Holliston","","","Yes","5-12","Chromebook","1:1 Chromebook program grades 5-12; Adams MS 1:1 initiative letter and FAQ pages exist; loan agreement dated 2017-18 SY; program predates 2017","http://adams.holliston.k12.ma.us/chromebook-one-to-one-program","https://www.holliston.k12.ma.us/district-departments/technology/students","3432","213","1","0","2506240"
"Hanover","MA","Hanover","2017","","Yes","9-12","Chromebook","Hanover High School began 1:1 Chromebook Initiative in 2017 because students/teachers benefit from common learning platform; Upper Elementary also 1:1; all HS students required on district Chromebook as of 2025-26","https://hhs.sau70.org/learning/technology/11-chromebbok-initiative","","3433","213","1","0","2505790"
