"DeKalb Co Ctl United Sch Dist","IN","Auburn","2020","Fall","Yes","K-12","Chromebook","2020-21 SY: all K-12 students received Chromebook per WJLE Radio; phased earlier: HS first ~3 yrs prior (c.2017), then MS, then elem; K-12 district-wide 2020","https://www.wjle.com/news/dekalb-school-district-to-provide-chromebooks-to-k-12-students/","https://www.dekalbcentral.net/219293_2","2551","292","1","0","1801590"
"Cucamonga Elementary","CA","Rancho Cucamonga","","","Yes (likely)","K-8","Chromebook","district uses Chromebooks (Rancho Cucamonga MS handbook references Chromebook purchases); no firm launch year found in web search","https://www.cuca.k12.ca.us/11188_3","","2552","292","1","0","0616300"
"San Elizario ISD","TX","San Elizario","","","Yes (likely)","K-12","Chromebook","district technology dept referenced; COVID-era device access likely; no firm year or dated source found","https://www.seisd.net/departments/technology","","2553","291","1","0","4838850"
"Rhea County","TN","Dayton","","","Yes (likely)","K-12","Chromebook","district has active Chromebook program with insurance/opt-out info; no firm launch year found in web search","https://www.rheacounty.org/technology","","2554","291","1","0","4703510"
"Anson County Schools","NC","Wadesboro","","","Yes (likely)","K-12","Chromebook","Chromebook Assistance page on district site; COVID-era distribution likely; no firm year found","https://www.ansonschools.org/District/Department/4-Technology/News/7538-Chromebook-Assistance.html","","2555","291","1","0","3700180"
"Roosevelt Union Free School District","NY","Roosevelt","","","Yes","1-12","Chromebook","district has 1:1 Chromebook program grades 1-12; students keep devices over summer; no firm launch year found in web search","https://www.rooseveltufsd.org/","","2556","291","1","0","3624990"
"Agawam","MA","Agawam","2021","","Yes","K-12","Chromebook","March 2021 tech update references replacing Chromebooks in multiple grades for 2021-22 SY; 1:1 program operational K-12 by 2021","https://www.agawamed.org/article/428201","","2557","291","1","0","2501800"
"Jerome Joint District","ID","Jerome","2021","Fall","Yes","9-12","Chromebook","RamPage student newspaper confirms first-ever 1:1 rollout to all J-DHS students on first day of school; COVID-related supply chain delays; high school first; district-wide goal","https://jdrampage.org/chromebooks-issued-to-every-j-dhs-student/","https://www.jeromeschools.org/post/chromebooks-in-powerschool","2558","291","1","0","1601590"
"Monroe County","GA","Forsyth","","","Yes (likely)","K-12","Chromebook","Monroe County Schools GA located in Forsyth; Chromebook info on Monroe Area High School (Walton Co) found; no firm year or dated source for Monroe County GA found","https://www.monroe.k12.ga.us/","","2559","291","1","0","1303720"
"Enumclaw School District","WA","Enumclaw","2020","","Yes (likely)","K-12","Chromebook","district distributed Chromebooks to students without devices during COVID spring 2020; ongoing device program; no pre-2020 1:1 evidence found","https://www.enumclaw.wednet.edu/teaching-learning/reopening-plan/tech-help","","2560","290","1","0","5300001"
