"Berlin School District","CT","Berlin","2022 (by)","","Yes (likely)","K-12","Mixed (Chromebook/iPad)","upper bound; 2022 post says 1:1 device program K-12 implemented 'last school year'; Berlin Central School District (berlincentral.org)","https://berlincentral.org/2022/08/10/chromebook-ipad-use-agreement/","","3251","228","1","0","0900210"
"Ripon Unified","CA","Ripon","","","","","Chromebook","no dated 1:1 launch evidence found; district has chromebooks at K-8 sites per 2021-22 doc","https://www.riponusd.net/curriculum","","3252","228","1","0","0632880"
"Riverbank Unified","CA","Riverbank","","","","","Chromebook","no dated 1:1 launch evidence found; district technology page exists but no program year surfaced","https://www.riverbank.k12.ca.us/50260_2","","3253","228","1","0","0600061"
"Mohave Valley Elementary District","AZ","Mohave Valley","2020","","Yes","K-8","Chromebook","1:1 Chromebook ratio via CARES Act/ESSER funding during COVID response; ESSER III provided protective cases and repair kits; Google Suite funded","https://www.azed.gov/mohave-valley-elementary-district-0","https://schoolspending.az.gov/explore/as-parent-guardian/district/mohave-valley-elementary-district-080416000/relief-funds","3254","228","1","0","0405190"
"Stafford MSD","TX","Stafford","2020","","Yes","K-12","iPad","1:1 iPad initiative for 2020-21 SY; 'Stafford Learns' program; elementary iPads stay in classroom; MS/HS students take home; all students eligible after signing iPad Agreement","https://www.staffordmsd.org/academics/stafford-learns/smsd-20-21-re-entry-plan","https://www.click2houston.com/news/local/2020/07/16/stafford-msd-what-you-need-to-know-about-the-districts-2020-2021-school-plans/","3255","227","1","0","4841350"
"Lincoln","RI","Lincoln","","","","","","no dated 1:1 launch evidence found; district has Technology Office and tech plan 2018-21 but no program year surfaced","https://www.lincolnps.org/departments/technology-office","","3256","227","1","0","4400570"
"Lampeter-Strasburg SD","PA","Lampeter","2016","","Yes (phased)","5-12","Chromebook","pilot in 2016-17 SY at 5th grade Hans Herr Elem; expanded to grades 5-8 in 2017-18; grades 5-12 in 2018-19; grade 3 also receives Chromebook for school and home","https://www.l-spioneers.org/Departments/Technology/1-To-1-Initiative/","","3257","227","1","0","4213110"
"Hamilton Local","OH","Columbus","2020","","Yes","1-12","Chromebook","became 'true 1:1 technology district' via CARES Act + i3 Grant + Broadband Connectivity Grant (~1000 new Chromebooks); Board approved $25/yr technology fee June 2020; ~1500 total Chromebooks","https://www.hamilton-local.k12.oh.us/protected/ArticleView.aspx?iid=6GA2IP2&dasi=1I","https://www.columbusmessenger.com/hamilton-schools-purchase-chromebooks-for-students.html","3258","227","1","0","3904695"
"Gloversville City School District","NY","Gloversville","","","","","Chromebook","Chromebook agreement page exists for 2024-25 but no launch year found","https://students.arbitersports.com/programs/gloversville-chromebook-agreement-2024-2025","","3259","227","1","0","3612270"
"Burnt Hills-Ballston Lake Central School District","NY","Burnt Hills","","","","","Chromebook","Smart Schools Investment Plans submitted (Jan 2017 doc); district uses Chromebooks; no firm 1:1 launch year surfaced","https://www.nysed.gov/smart-schools/burnt-hills-ballston-lake-central-school-district-approved-plans","","3260","227","1","0","3605940"
