"MCCOMB SCHOOL DISTRICT","MS","McComb","","","Yes (likely)","K-12","Laptop","MB 1:1 program exists per district website policy doc; no dated launch source found","https://www.mccomb.k12.ms.us/apps/pages/index.jsp?uREC_ID=369265&type=d&pREC_ID=829642","https://www.mccombschool.org/Downloads/McComb_OneToOne_LaptopPolicy.pdf","3351","220","1","0","2802880"
"LONG BEACH SCHOOL DIST","MS","Long Beach","","","Yes (likely)","K-12","Chromebook","District has MS Chromebooks page; no dated launch source found","https://www.lbsdk12.com/en-US","","3352","220","1","0","2802670"
"LINDEN COMMUNITY SCHOOLS","MI","Linden","","","Yes (likely)","6-12","Chromebook","Chromebooks for all HS, MS, and virtual students; no dated launch source found","https://www.lindenschools.org/page/chromebooks-for-secondary-and-virtual-students","","3353","220","1","0","2621690"
"IONIA PUBLIC SCHOOLS","MI","Ionia","","","Yes (likely)","6-12","Chromebook","1:1 Chromebook ratio at HS and MS; no specific launch year found","https://ims.ioniaschools.org/1-1","https://www.ioniaschools.org/","3354","220","1","0","2619250"
"HUDSON","MA","Hudson","2017","Fall","Yes (phased)","4-12 (phased 2017-2019)","Chromebook","1:1 program launched fall 2017 for grades 4,5,7,8,9,10; grade 6 added fall 2018; grade 3 added fall 2019; iPads for K-2","https://www.hudson.k12.ma.us/departments/technology/1_1_program","https://www.hudson.k12.ma.us/departments/technology/1_1_program/1_1_parent_faq","3355","220","1","0","2506390"
"SANFORD PUBLIC SCHOOLS","ME","Sanford","","","","","","No evidence of 1:1 program found in web search","https://www.sanford.org/","","3356","220","1","0","2310500"
"SIMPSON COUNTY","KY","Franklin","","","Yes (likely)","K-12","Chromebook","Chromebook usage restrictions posted Jan 2021; 1:1 program active by then; no earlier dated launch source found","https://www.simpson.k12.ky.us/o/simpson-county-schools/article/383726","https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/977351/SCS_Chromebook_Agreement_No-50.pdf","3357","220","1","0","2105400"
"JEFFERSON COUNTY","GA","Louisville","","","Yes (likely)","K-12","Chromebook","All JefCoEd students loaned a Chromebook per district website; GMHS 1:1 Initiative page exists; no specific launch year found","https://sites.google.com/jeffcoschools.us/gmhs-1-1","https://www.jefferson.k12.ga.us/","3358","220","1","0","1303060"
"SAN MARINO UNIFIED","CA","San Marino","","","","","","Technology policies page found; no evidence of 1:1 student device program found","https://www.smusd.us/apps/pages/index.jsp?uREC_ID=29914&type=d&pREC_ID=590648","","3359","220","1","0","0634860"
"LAGUNA BEACH UNIFIED","CA","Laguna Beach","2014","October","Yes (phased)","9-12 then K-12","Mixed (Chromebook/iPad/BYOD)","BYOD program launched October 2014 at LBHS; expanded to 5th grade Jan 2015; library Chromebook checkout for those without devices; later all students issued personal device","https://www.lbusd.org/page.cfm?p=553","https://www.govtech.com/education/southern-california-elementary-schools-adopt-byod-program.html","3360","220","1","0","0620370"
