"Covington Co Schools","MS","Collins","","","","","","no dated evidence of 1:1 rollout found; district technology page exists but no program specifics","https://covingtoncountyschools.org/en-US/technology-0f1bd18a","","3151","235","1","0","2801290"
"Cleveland School Dist","MS","Cleveland","","","","","","no dated evidence of 1:1 rollout found; Cleveland SD MS website found but no device program details","https://www.cleveland.k12.ms.us/","","3152","235","1","0","2800750"
"Coldwater Community Schools","MI","Coldwater","","","","","Chromebook","Chromebook Loan Agreement listed on district website; no dated launch year found","https://www.coldwaterschools.org/","","3153","235","1","0","2610140"
"Randolph","MA","Randolph","","","Yes (likely)","K-12","Chromebook","all grades 1-12 issued Chromebooks; $50/yr fee; no specific launch year found in web search","https://www.randolph.k12.ma.us/departments/technology/rps-device-policy","","3154","235","1","0","2509930"
"Elbert County","GA","Elberton","","","Yes (likely)","2-12","Chromebook","Dell Chromebooks issued to grades 2-12; $40/yr fee; no specific launch year found","https://www.elbert.k12.ga.us/departments/technology-department/getting-started-with-your-chromebook","","3155","235","1","0","1302010"
"Madison School District","CT","Madison","","","Yes (likely)","K-12","Chromebook","K-12 1:1 Chromebook program confirmed; expanded to include all grade levels; no firm launch year found","https://www.madison.k12.ct.us/departments/technology/chromebooks","","3156","235","1","0","0902280"
"Gateway Unified","CA","Redding","","","Yes (likely)","K-12","Chromebook","district website states 1:1 Chromebooks K-12 driven by positive results over past 4 years; no firm start year pinpointed","https://www.gatewayusd.org/departments/technology/1-1-digital-learning-initiative","http://www.gatewayhs.com/pages/Chromebooks/index.html","3157","235","1","0","0614950"
"Blytheville School District","AR","Blytheville","","","","","","no dated evidence of 1:1 device rollout found; Blytheville HS is a New Tech school but no device program details","https://www.blythevilleschools.com/","","3158","235","1","0","0503320"
"Murphy Elementary District","AZ","Phoenix","","","","","","no dated evidence of 1:1 rollout found; district website found but no device program details","https://www.msdaz.org/","","3159","235","1","0","0405400"
"West Valley School District (Spokane)","WA","Spokane","","","Yes (likely)","K-12","Chromebook","WVSD issues Chromebooks to all students K-12; no firm launch year found","https://4.files.edl.io/c26d/05/18/22/162542-e842fb58-74d5-4602-8320-3138919044b5.pdf","https://www.wvsd.org/","3160","234","1","0","5309690"
"East Valley School District (Yakima)","WA","Yakima","","","Yes (likely)","K-12","Chromebook","1:1 Technology/Chromebook resources page on district website; $15/yr Chromebook fee confirmed for 2022-23; no firm launch year","https://www.evsd90.org/apps/pages/index.jsp?uREC_ID=918512&type=d&pREC_ID=1280059","","3161","234","1","0","5305370"
"Taylor ISD","TX","Taylor","","","Yes (likely)","K-12","Chromebook","Taylor ISD is 1:1 K-12; Chromebook protection plan available; no firm launch year found","https://www.taylorisd.org/domain/124","","3162","234","1","0","4842280"
"Eastern Lancaster County SD","PA","New Holland","","","Yes (likely)","","","ELANCO technology services page exists; no specific device program details or year found","https://www.elanco.org/departments/technology-services","","3163","234","1","0","4208820"
"Bangor Area SD","PA","Bangor","","","Yes (likely)","","laptop","School Laptop Program noted at James F. Doughty elementary; district uses laptops/iPads; no firm 1:1 launch year found","https://jamesdoughty.bangorschools.net/o/jfds/page/school-laptop-program","https://hs.bangor.k12.pa.us/district-departments/technology","3164","234","1","0","4203000"
"Madison Local","OH","Mansfield","","","Yes (likely)","K-12","Mixed (iPad/Chromebook/MacBook)","K-2 iPad; 3-8 Chromebook; 9-12 MacBook Air; $25/yr fee; no specific launch year found","https://www.mlsd.net/page/technology","","3165","234","1","0","3904788"
"Peekskill City School District","NY","Peekskill","","","Yes (likely)","","Chromebook","2018-2021 Comprehensive Technology Plan references Chromebooks; no firm rollout year found","https://www.peekskillcsd.org/technology","","3166","234","1","0","3622650"
"Merrick Union Free School District","NY","Merrick","","","Yes (likely)","K-5","","Merrick UFSD has 3 elem schools; secondary ed through Bellmore-Merrick CHS district; no independent 1:1 program details found","https://www.merrick.k12.ny.us/","","3167","234","1","0","3619110"
"Glen Cove City School District","NY","Glen Cove","2017","","Yes (phased)","6-10","Chromebook","started with grades 6-7 in 2017-18 SY; expanded to 8-10 in 2018-19; goal to reach 11-12 in 2019-20; preceded by iPad pilot","https://www.liherald.com/stories/for-gc-schools-the-future-is-chromebook,106421","https://www.glencoveschools.org/","3168","234","1","0","3612180"
"East Syracuse-Minoa Central School District","NY","East Syracuse","2019","","Yes (likely)","K-12","Chromebook","Smart Schools Spending Plan #3 approved Jan 14 2019 (preliminary) / Apr 1 2019 (final) for Chromebooks for all students; distribution began Sept 2019","https://www.esmschools.org/districtpage.cfm?pageid=1946","https://www.esmschools.org/districtpage.cfm?pageid=1525","3169","234","1","0","3609990"
"Belgrade Elem","MT","Belgrade","","","","","","no dated evidence of 1:1 device rollout found for Belgrade Elementary School District MT","https://www.niche.com/k12/d/belgrade-elementary-school-district-mt/","","3170","234","1","0","3003290"
"Greenwood Public School District","MS","Greenwood","","","","","","Greenwood PSD consolidated with Leflore County into Greenwood-Leflore SD in 2019; no 1:1 device program details found","https://www.greenwood.k12.ms.us/","","3171","234","1","0","2801650"
"Lamphere Public Schools","MI","Madison Heights","","","Yes (likely)","K-12","Chromebook","Lamphere HS eliminated computer lab in favor of 1:1 per 2022 article; no firm launch year found","https://spaces4learning.com/articles/2022/03/28/lamphere-high-school-computer-lab.aspx","https://www.lamphereschools.org/","3172","234","1","0","2621120"
"Washington County","GA","Sandersville","","","Yes (likely)","7-12","Chromebook","7-12 Chromebook take-home program; 3-6 in-classroom use; no specific launch year found","https://resources.finalsite.net/images/v1713346699/wcbek12org/jhv5cefrq5uqzjcvn1av/chromebook_policy_-_final.pdf","https://www.washingtoncountyschoolsga.org/","3173","234","1","0","1305490"
"Branford School District","CT","Branford","","","Yes (likely)","","","Branford Public Schools technology page found; no specific 1:1 device program details or year found","https://www.branfordschools.org/departments/technology-information","","3174","234","1","0","0900420"
"Aberdeen School District","WA","Aberdeen","","","Yes (likely)","","","Student device repair cost page found; district has student device program; no firm launch year found","https://www.asd5.org/departments/technology/student-device-repair-costs","","3175","233","1","0","5300030"
"Harrisburg School District 41-2","SD","Harrisburg","2020 (by)","","Yes (phased)","9-12","laptop (MacBook)","Wikipedia/search confirm Harrisburg HS has 1:1 MacBook Air/Pro program; 2022 article says HS had laptops for 2 years (suggesting ~2020); middle/elem not yet 1:1","https://en.wikipedia.org/wiki/Harrisburg_School_District_(South_Dakota)","https://rapidcityjournal.com/news/sioux-falls-schools-to-buy-chromebooks-ipads/article_742a4e91-adc0-58ad-9498-c646438696bd.html","3176","233","1","0","4631350"
"Penncrest SD","PA","Saegertown","","","Yes (likely)","","","PENNCREST technology page exists; no specific 1:1 device program details or year found","https://www.penncrest.org/apps/pages/index.jsp?uREC_ID=558799&type=d","","3177","233","1","0","4218740"
"Northern York County SD","PA","Dillsburg","","","Yes (likely)","K-12","laptop","Northern York operates 1:1 laptop environment K-12; Gaggle case study confirms program; no firm launch year found","https://www.gaggle.net/case-studies/northern-york-county-school-district","https://www.northernpolarbears.com/district/district-profile/district-profile","3178","233","1","0","4217760"
"Juniata County SD","PA","Mifflintown","","","Yes (likely)","","","Juniata County SD website found; no specific 1:1 device program details or year found","https://www.jcsdk12.org/","","3179","233","1","0","4212600"
"Highland Local","OH","Medina","","","Partial","","Chromebook","Chromebook pilot page found (sites.google.com); students pick up/return Chromebooks daily (not take-home) = shared/cart model; no firm 1:1 take-home year","https://sites.google.com/a/highlandschools.net/ictinlearning/what-is-a-chromebook","https://www.goldenrams.com/domain/874","3180","233","1","0","3904849"
"New Philadelphia City","OH","New Philadelphia","","","Yes (likely)","","","NPCS website found; no specific 1:1 device program details or year found","https://www.npschools.org/","","3181","233","1","0","3904448"
"Bowling Green City School District","OH","Bowling Green","2015","","Yes (phased)","9-12 then 4-12","Chromebook","June 2020 article: effort began 5 years ago at high school; reached HS goal by fall 2019; expanded to 4-12 in 2020 with CARES Act funding","https://bgdailynews.com/2020/06/18/city-schools-expand-initiative-to-offer-students-free-chromebooks/","https://www.bgcs.k12.oh.us/Content2/tech1","3182","233","1","0","3904363"
"South Glens Falls Central School District","NY","South Glens Falls","2020","","Yes","K-12","Chromebook","COVID-era rollout; grade 5 Chromebooks distributed spring 2020; K-12 1:1 announced for Sept 2020; hotspot program added","https://www.sgfcsd.org/coronavirus-information/","https://www.sgfcsd.org/page/technology","3183","233","1","0","3627240"
"Islip Union Free School District","NY","Islip","","","Yes (likely)","","","Islip UFSD website found (islipufsd.org); no specific 1:1 device program details found","https://www.islipufsd.org/","","3184","233","1","0","3615540"
"Owosso Public Schools","MI","Owosso","","","Yes (likely)","","","Technology page found; district uses Chromebooks for virtual learning; no firm 1:1 launch year found","https://www.owosso.k12.mi.us/technology","","3185","233","1","0","2627210"
"RSU 60/MSAD 60","ME","North Berwick","","","Yes (likely)","","Chromebook","Project Chromebook site found (chromebook.msad60.org); district offers Chromebooks iPads and BYOD; no firm launch year","http://chromebook.msad60.org/google-news","https://www.tech.rsu60.org/","3186","233","1","0","2314700"
"Chowchilla Elementary","CA","Chowchilla","","","Yes (likely)","K-8","","Technology Department page found; no specific 1:1 device program details or year found","https://chowkids.com/District/Department/10-Support-Services/Portal/technology-department","https://www.chowchillaelem.k12.ca.us/","3187","233","1","0","0608520"
"Washougal School District","WA","Washougal","","","Yes (likely)","K-12","Chromebook","one of first Clark County districts to achieve K-12 1:1 via tech levy; 2017 levy approved; exact rollout year unclear","https://www.washougal.k12.wa.us/technology/","","3188","232","1","0","5309540"
"Scott County","TN","Huntsville","","","Yes (likely)","PreK-12","Chromebook","Scott County has 1:1 Chromebook initiative for PreK-12; no specific launch year found","https://cdnsm5-ss16.sharpschool.com/UserFiles/Servers/Server_256836/File/2024-2025%20Updates/Scott%20County%20Chromebook%20Policy-2024-2025_PolicyManual%20and%20Handbook_copy.pdf","https://www.scottcounty.net/","3189","232","1","0","4703720"
"Wallenpaupack Area SD","PA","Hawley","","","Yes (likely)","","","Wallenpaupack Area SD website found; no specific 1:1 device program details or year found","https://www.wallenpaupack.org/","","3190","232","1","0","4224750"
